Symbol,Name,Last Price,Change,% Change
EURUSD=X,EUR/USD,1.0896,+0.0008,+0.08%
JPY=X,USD/JPY,149.0330,+0.7490,+0.51%
GBPUSD=X,GBP/USD,1.2738,-0.0017,-0.13%
AUDUSD=X,,N/A,N/A,N/A
NZDUSD=X,,N/A,N/A,N/A
EURJPY=X,,N/A,N/A,N/A
GBPJPY=X,,N/A,N/A,N/A
EURGBP=X,,N/A,N/A,N/A
EURCAD=X,,N/A,N/A,N/A
EURSEK=X,,N/A,N/A,N/A
EURCHF=X,,N/A,N/A,N/A
EURHUF=X,,N/A,N/A,N/A
EURJPY=X,,N/A,N/A,N/A
CNY=X,,N/A,N/A,N/A
HKD=X,,N/A,N/A,N/A
SGD=X,,N/A,N/A,N/A
INR=X,,N/A,N/A,N/A
MXN=X,,N/A,N/A,N/A
PHP=X,,N/A,N/A,N/A
IDR=X,,N/A,N/A,N/A
THB=X,,N/A,N/A,N/A
MYR=X,,N/A,N/A,N/A
ZAR=X,,N/A,N/A,N/A
RUB=X,,N/A,N/A,N/A
